,emoji,count
176,🇪🇸,12319
598,🇫🇷,12283
405,🚧,12264
627,☝️,12216
615,👣,12198
558,⚜️,12186
701,🥊,12176
247,🎓,12144
968,🎄,12098
175,0️⃣,12080
489,💿,12007
86,🍹,11994
429,🍿,11970
669,🍎,11907
507,🐺,11874
585,🍬,11864
602,🍔,11861
224,🐦,11836
495,🐧,11807
1057,🐬,11788
230,🤷‍♂️,11750
504,🐸,11749
689,☔,11647
492,🍸,11586
157,⚔️,11583
686,🐇,11387
972,🌓,11237
446,♻️,11174
563,🐢,11087
195,☄️,10986
622,⌚,10939
424,🌒,10937
343,🇩🇪,10862
521,🇦🇺,10858
440,🐘,10829
421,👨,10803
436,🤝,10802
435,🇵🇭,10801
372,🌠,10795
266,♦️,10739
559,3️⃣,10709
189,🏡,10673
285,🔽,10636
594,🇬🇭,10620
327,🍪,10594
745,⬅️,10338
875,🔆,10299
721,♠️,10275
87,🍋,10194
353,🐈,10171
491,🔄,10149
486,🎩,10053
498,🎇,10048
319,😸,10019
330,🏅,9885
364,🍌,9853
402,🚗,9848
607,⁉️,9819
655,🏳️‍🌈,9707
219,🛑,9686
605,👫,9640
91,🛫,9620
587,🎹,9495
340,🌘,9469
142,🍂,9436
470,🅱️,9392
778,🗣️,9374
1176,🌔,9374
485,▫️,9370
1129,🌖,9370
791,🐙,9323
577,🤒,9299
527,🤦‍♀️,9283
367,🏠,9194
760,🌲,9186
1235,🌗,9164
261,😟,9129
702,🔺,9093
120,🍦,9060
313,🚩,9023
326,🍼,9001
964,🗡️,8976
520,🌳,8916
569,💆,8789
1130,⌛,8766
248,™️,8674
342,🇲🇽,8660
947,🌾,8645
350,🌝,8624
227,📰,8579
232,🔃,8380
716,🔷,8379
106,🤖,8370
728,☃️,8362
331,🆕,8355
239,📆,8345
720,🔛,8320
849,🇰🇪,8318
845,🐠,8318
625,🦇,8299
503,🔙,8233
392,🍉,8116
408,⏪,8113
785,✍️,8045
775,👹,7997
719,🐨,7996
322,❕,7990
545,🐹,7958
108,🇮🇪,7878
887,⛅,7740
380,◀️,7687
398,🍩,7673
449,🙀,7668
406,📅,7585
294,💬,7561
633,🍟,7453
293,📦,7409
79,👾,7403
506,📖,7401
452,👿,7395
648,✳️,7317
638,💲,7300
851,🌵,7297
113,🐟,7274
620,🏄,7165
389,👙,7165
249,💑,7125
7,4️⃣,7112
759,👭,7101
574,📀,7090
123,🎒,7079
660,🦊,7043
407,💊,7036
369,🍍,7009
546,😿,6998
394,🤸,6996
438,🇷🇺,6986
756,🔻,6954
65,🐤,6932
204,🔐,6857
1153,🔰,6757
221,🤥,6713
265,🎲,6695
790,🐊,6692
22,🕙,6651
737,🙉,6637
703,🆓,6603
824,🏹,6564
677,💠,6535
979,🌅,6479
634,🍄,6476
100,🥃,6429
474,🤴,6398
589,🆚,6376
903,5️⃣,6336
226,🎭,6326
874,🏴󠁧󠁢󠁥󠁮󠁧󠁿,6209
659,🍳,6202
854,🥁,6200
860,🇹🇷,6171
447,➕,6171
487,🇦🇷,6154
21,🕑,6016
321,😼,6014
335,😦,6012
826,👟,6007
695,🗽,5991
455,👧,5926
437,✝️,5895
1027,😺,5829
917,👬,5824
211,◻️,5810
409,🦈,5770
604,🐳,5761
