,emoji,count,polarity,subjectivity,position
52,♥️,154335,0.3902972637254496,0.3741501792510845,0.7593909429097931
53,🎶,151100,0.2816416496718949,0.32243356855488475,0.6938181077673908
54,🤗,150439,0.3671907970695446,0.37783735915238387,0.8038697496310957
55,💦,148197,0.20760761624734364,0.3265725051218289,0.7465371841018783
56,💔,145907,0.05548987175216485,0.32229605765338626,0.7923070123749459
57,🌸,145567,0.3979611970128468,0.3661956041804759,0.6816667462803361
58,💋,145383,0.3733732400181265,0.3885946488878331,0.7655841113084472
59,⭐,142739,0.3236212651024394,0.33708952661579983,0.5372729064824714
60,😅,141663,0.14293274872894896,0.3327426123588564,0.8386176740534445
61,🖤,137836,0.2964660729413062,0.3456926210288615,0.7817253589878702
62,⚡,136583,0.28460169088795845,0.30113820709968603,0.5677067431718933
63,😈,131006,0.18144439445793756,0.32016862470385893,0.7840443452572379
64,👑,126464,0.3360309915966602,0.2992601151366307,0.711417674547109
65,😏,119092,0.1775154632917181,0.3059098196098897,0.8230382280338524
66,🙃,117732,0.10859521196344915,0.33269821677281275,0.8883486027617683
67,💎,116259,0.24020848375746343,0.2782215473083214,0.7428443927406007
68,⚽,112678,0.2743445953856754,0.28817178409188293,0.5856008151195639
69,☺️,110392,0.3660888391485692,0.36851451642892885,0.8022859839718105
70,💫,107176,0.3447641739266915,0.32828771355557773,0.7389836837159949
71,❗,102659,0.1994179285575564,0.3295884650357344,0.5380547153063556
72,💰,102275,0.2703338013424964,0.3267130725240496,0.6686782705138123
73,😋,101302,0.336368365256109,0.3584152039471549,0.8255830786220728
74,😆,101248,0.257560963721343,0.33044967282904614,0.7868846273010162
75,👊,99111,0.31612962065845934,0.3086887684640153,0.7584812589837143
76,😔,97018,0.017428575188629416,0.3538390230682804,0.8346502329962451
77,😀,96058,0.34516808729050225,0.37379514563107863,0.7837808130012492
78,✔️,94959,0.20559241109298138,0.26698006526413126,0.5828393734643887
79,😌,94756,0.24611128615574923,0.3504596151450144,0.8527943753028551
80,😒,94591,-0.03730387805039382,0.34712862608761025,0.8549093236409699
81,😤,93018,0.03464128917895471,0.3250209052918976,0.8547518863006408
82,➡️,92533,0.25924141948310325,0.3225726393320844,0.7250062617476143
